Scenario Name,Date,DRS-Target Variable,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level),log_Dow Jones Total Stock Market Index (Level),log_House Price Index (Level),log_Commercial Real Estate Price Index (Level),Dow Jones Total Stock Market Index (Level)_YOY,House Price Index (Level)_YOY,Commercial Real Estate Price Index (Level)_YOY,Unemployment rate_lag_1,Unemployment rate_lag_2,Unemployment rate_lag_3,Unemployment rate_lag_4,Unemployment rate_lag_5,Unemployment rate_lag_6,10-year Treasury yield_lag_1,10-year Treasury yield_lag_2,10-year Treasury yield_lag_3,10-year Treasury yield_lag_4,10-year Treasury yield_lag_5,10-year Treasury yield_lag_6,Mortgage rate_lag_1,Mortgage rate_lag_2,Mortgage rate_lag_3,Mortgage rate_lag_4,Mortgage rate_lag_5,Mortgage rate_lag_6
Actual,2003 Q3,,6.8,9.3,7.2,10.0,6.1,3.0,0.9,3.1,4.4,5.6,6.0,4.0,9649.7,138.7,150.6,22.7,9.174682105766886,4.932313327320786,5.014627315365793,,,,,,,,,,,,,,,,,,,,,
Actual,2003 Q4,,4.7,7.3,1.1,3.1,5.8,1.5,0.9,3.2,4.4,5.4,5.9,4.0,10799.6,143.1,148.3,21.1,9.287264375389386,4.963543686562405,4.999237249143887,,,,6.1,,,,,,4.4,,,,,,6.0,,,,,
Actual,2004 Q1,,2.3,5.2,1.8,5.0,5.7,3.4,0.9,3.0,4.1,5.0,5.6,4.0,11039.4,148.1,154.9,21.6,9.309225970528102,4.997887721273753,5.042779747422823,,,,5.8,6.1,,,,,4.4,4.4,,,,,5.9,6.0,,,,
Actual,2004 Q2,,3.2,6.5,4.2,7.1,5.6,3.2,1.1,3.7,4.7,5.7,6.1,4.0,11144.6,153.9,164.2,20.0,9.318710354642016,5.0363030408448335,5.101085197018328,15.491673316268884,10.958904109589064,9.030544488711811,5.7,5.8,6.1,,,,4.1,4.4,4.4,,,,5.6,5.9,6.0,,,
Actual,2004 Q3,,3.8,6.5,2.9,4.9,5.4,2.6,1.5,3.5,4.4,5.4,5.9,4.4,10893.8,159.3,175.4,19.3,9.29594909904552,5.070789216916003,5.1670690799380825,0.8722545279454597,11.320754716981153,18.273769386378945,5.6,5.7,5.8,6.1,,,4.7,4.1,4.4,4.4,,,6.1,5.6,5.9,6.0,,
Actual,2004 Q4,,4.2,7.4,5.2,8.8,5.4,4.4,2.0,3.5,4.3,5.1,5.7,4.9,11951.5,165.1,179.8,16.6,9.388612072494855,5.1065513509260825,5.19184512203752,8.262224396253416,11.47873058744091,16.074887023886376,5.4,5.6,5.7,5.8,6.1,,4.4,4.7,4.1,4.4,4.4,,5.9,6.1,5.6,5.9,6.0,
Actual,2005 Q1,1.42,4.5,7.9,-4.8,-2.5,5.3,2.0,2.5,3.9,4.4,5.2,5.8,5.4,11637.3,171.9,180.6,14.7,9.361970735615948,5.146912912388804,5.196284640982885,4.420975180805042,11.695906432748536,9.987819732034108,5.4,5.4,5.6,5.7,5.8,6.1,4.3,4.4,4.7,4.1,4.4,4.4,5.7,5.9,6.1,5.6,5.9,6.0
Actual,2005 Q2,1.55,2.0,5.0,3.9,6.6,5.1,2.7,2.9,3.9,4.2,5.4,5.7,5.9,11856.7,178.8,186.3,17.7,9.380648387628325,5.186267862739414,5.227358277607543,8.83897262663167,12.241054613935965,6.214367160775369,5.3,5.4,5.4,5.6,5.7,5.8,4.4,4.3,4.4,4.7,4.1,4.4,5.8,5.7,5.9,6.1,5.6,5.9
Actual,2005 Q3,1.59,3.2,7.0,1.7,6.1,5.0,6.2,3.4,4.0,4.3,5.4,5.8,6.4,12282.9,185.0,192.7,14.2,9.415963330172403,5.220355825078324,5.2611345754203205,2.772873697862188,12.053301029678988,7.174638487207985,5.1,5.3,5.4,5.4,5.6,5.7,4.2,4.4,4.3,4.4,4.7,4.1,5.7,5.8,5.7,5.9,6.1,5.6
Actual,2005 Q4,1.64,2.3,5.6,3.4,6.7,5.0,3.8,3.8,4.4,4.6,5.8,6.2,7.0,12497.2,190.2,199.9,16.5,9.433259898198646,5.24807615011129,5.297817241506355,7.389171027643893,10.64572425828969,10.686600221483955,5.0,5.1,5.3,5.4,5.4,5.6,4.3,4.2,4.4,4.3,4.4,4.7,5.8,5.7,5.8,5.7,5.9,6.1
